Environment,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1
1068,233.0,27.0,106.0,500.0,500.0,244.0,500.0,500.0,194.0,500.0,225.0,142.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,427.0,9.0,500.0,119.0,373.0,500.0,500.0,303.0,500.0,202.0,500.0,500.0,188.0,500.0,10.0,500.0,500.0,500.0,500.0,142.0,9.0,387.0,500.0,404.0,500.0,500.0,500.0
1069,220.0,27.0,106.0,500.0,500.0,379.0,500.0,500.0,194.0,500.0,452.0,177.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,421.0,9.0,500.0,117.0,453.0,500.0,500.0,500.0,500.0,187.0,500.0,500.0,229.0,500.0,10.0,500.0,500.0,500.0,500.0,368.0,9.0,151.0,500.0,289.0,500.0,500.0,331.0
1070,500.0,27.0,105.0,500.0,500.0,365.0,500.0,500.0,194.0,500.0,332.0,220.0,500.0,500.0,9.0,431.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,311.0,9.0,500.0,119.0,500.0,500.0,500.0,500.0,500.0,189.0,500.0,500.0,129.0,500.0,10.0,500.0,500.0,500.0,430.0,308.0,9.0,491.0,500.0,421.0,500.0,500.0,500.0
1071,482.0,27.0,106.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,328.0,209.0,500.0,409.0,9.0,446.0,9.0,500.0,500.0,500.0,376.0,323.0,500.0,408.0,9.0,500.0,119.0,302.0,500.0,500.0,436.0,500.0,203.0,500.0,500.0,119.0,500.0,10.0,500.0,500.0,500.0,500.0,308.0,9.0,134.0,500.0,447.0,500.0,500.0,500.0
1072,499.0,27.0,106.0,500.0,500.0,462.0,500.0,500.0,194.0,500.0,439.0,113.0,500.0,409.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,331.0,500.0,371.0,9.0,500.0,116.0,500.0,500.0,500.0,388.0,500.0,211.0,500.0,500.0,189.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,162.0,500.0,360.0,500.0,500.0,500.0
1073,430.0,27.0,106.0,500.0,500.0,358.0,500.0,500.0,194.0,500.0,386.0,334.0,500.0,417.0,9.0,335.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,451.0,9.0,500.0,118.0,500.0,500.0,500.0,500.0,500.0,191.0,500.0,500.0,187.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,314.0,500.0,392.0,500.0,500.0,500.0
1074,500.0,27.0,106.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,421.0,162.0,500.0,407.0,9.0,338.0,9.0,500.0,500.0,500.0,500.0,393.0,500.0,500.0,9.0,500.0,116.0,500.0,500.0,500.0,500.0,500.0,207.0,500.0,500.0,271.0,500.0,10.0,500.0,500.0,500.0,169.0,500.0,9.0,373.0,500.0,500.0,500.0,500.0,454.0
1075,404.0,27.0,108.0,500.0,390.0,500.0,500.0,500.0,194.0,500.0,253.0,193.0,500.0,329.0,9.0,429.0,9.0,500.0,500.0,500.0,500.0,312.0,500.0,235.0,9.0,500.0,118.0,500.0,500.0,500.0,500.0,500.0,215.0,500.0,452.0,193.0,407.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,219.0,500.0,433.0,500.0,500.0,500.0
1076,168.0,27.0,106.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,215.0,259.0,500.0,298.0,9.0,249.0,9.0,500.0,500.0,500.0,500.0,379.0,500.0,238.0,9.0,500.0,116.0,500.0,500.0,500.0,500.0,500.0,218.0,500.0,415.0,156.0,500.0,10.0,500.0,500.0,500.0,500.0,263.0,9.0,134.0,500.0,458.0,500.0,500.0,500.0
1077,373.0,27.0,106.0,500.0,500.0,332.0,500.0,500.0,194.0,500.0,500.0,336.0,500.0,325.0,9.0,230.0,9.0,500.0,500.0,500.0,500.0,149.0,500.0,400.0,9.0,500.0,116.0,352.0,500.0,500.0,500.0,500.0,212.0,500.0,384.0,118.0,500.0,10.0,500.0,500.0,500.0,500.0,354.0,9.0,179.0,500.0,485.0,500.0,455.0,500.0
1078,499.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,419.0,267.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,336.0,9.0,500.0,116.0,342.0,500.0,500.0,500.0,500.0,198.0,500.0,343.0,267.0,500.0,10.0,500.0,500.0,500.0,500.0,436.0,9.0,216.0,500.0,500.0,500.0,500.0,500.0
1079,223.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,333.0,177.0,500.0,419.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,421.0,500.0,500.0,9.0,500.0,116.0,388.0,494.0,500.0,500.0,500.0,193.0,500.0,323.0,181.0,500.0,10.0,500.0,500.0,500.0,500.0,447.0,9.0,400.0,500.0,300.0,500.0,500.0,500.0
1080,500.0,27.0,108.0,500.0,500.0,491.0,500.0,500.0,194.0,500.0,324.0,496.0,500.0,500.0,9.0,202.0,9.0,500.0,500.0,500.0,261.0,500.0,500.0,370.0,9.0,500.0,117.0,259.0,500.0,500.0,500.0,500.0,201.0,500.0,314.0,440.0,500.0,10.0,500.0,500.0,500.0,500.0,342.0,9.0,140.0,500.0,500.0,500.0,411.0,269.0
1081,446.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,319.0,238.0,500.0,399.0,9.0,359.0,9.0,500.0,500.0,500.0,500.0,307.0,500.0,490.0,9.0,500.0,116.0,276.0,500.0,500.0,500.0,500.0,187.0,500.0,305.0,239.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,188.0,500.0,451.0,500.0,498.0,500.0
1082,482.0,27.0,108.0,500.0,500.0,260.0,500.0,500.0,194.0,500.0,500.0,237.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,319.0,500.0,500.0,9.0,500.0,117.0,395.0,500.0,500.0,500.0,500.0,200.0,500.0,296.0,168.0,500.0,10.0,500.0,500.0,500.0,500.0,408.0,9.0,317.0,500.0,283.0,500.0,500.0,423.0
1083,459.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,435.0,306.0,124.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,413.0,445.0,500.0,500.0,9.0,500.0,119.0,246.0,500.0,500.0,500.0,500.0,203.0,500.0,302.0,135.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,46.0,500.0,500.0,500.0,438.0,500.0
1084,202.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,500.0,147.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,119.0,390.0,500.0,480.0,500.0,500.0,189.0,500.0,295.0,196.0,500.0,10.0,500.0,500.0,500.0,500.0,349.0,9.0,275.0,500.0,500.0,500.0,478.0,359.0
1085,338.0,27.0,108.0,500.0,283.0,500.0,500.0,500.0,194.0,500.0,240.0,500.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,116.0,451.0,500.0,484.0,500.0,500.0,185.0,500.0,294.0,141.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,328.0,500.0,217.0,500.0,492.0,500.0
1086,500.0,27.0,108.0,500.0,341.0,381.0,500.0,500.0,194.0,500.0,500.0,238.0,500.0,500.0,9.0,475.0,9.0,500.0,500.0,500.0,500.0,387.0,500.0,500.0,9.0,500.0,116.0,215.0,500.0,482.0,485.0,500.0,181.0,500.0,291.0,213.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,318.0,500.0,330.0,500.0,446.0,500.0
1087,500.0,27.0,108.0,500.0,500.0,322.0,500.0,500.0,194.0,500.0,500.0,153.0,500.0,500.0,9.0,233.0,9.0,500.0,500.0,500.0,426.0,500.0,500.0,500.0,9.0,500.0,118.0,406.0,500.0,458.0,205.0,500.0,184.0,500.0,292.0,160.0,500.0,10.0,500.0,500.0,500.0,500.0,390.0,9.0,355.0,500.0,220.0,500.0,500.0,500.0
1088,500.0,27.0,108.0,500.0,500.0,342.0,500.0,500.0,194.0,500.0,500.0,357.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,415.0,500.0,500.0,9.0,500.0,119.0,400.0,500.0,445.0,147.0,500.0,175.0,500.0,296.0,177.0,500.0,10.0,500.0,500.0,500.0,500.0,426.0,9.0,466.0,500.0,500.0,500.0,500.0,500.0
1089,500.0,27.0,108.0,500.0,500.0,234.0,500.0,500.0,194.0,449.0,500.0,247.0,500.0,500.0,9.0,306.0,9.0,500.0,500.0,500.0,500.0,137.0,500.0,500.0,9.0,500.0,116.0,347.0,500.0,453.0,500.0,500.0,181.0,500.0,291.0,239.0,500.0,10.0,500.0,500.0,500.0,500.0,182.0,9.0,152.0,500.0,380.0,500.0,500.0,500.0
1090,500.0,27.0,108.0,500.0,500.0,265.0,316.0,500.0,194.0,500.0,500.0,201.0,500.0,500.0,9.0,261.0,9.0,500.0,500.0,500.0,500.0,252.0,500.0,500.0,9.0,500.0,116.0,401.0,500.0,443.0,500.0,500.0,172.0,500.0,302.0,341.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,284.0,500.0,497.0,500.0,500.0,500.0
1091,362.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,500.0,190.0,500.0,500.0,9.0,232.0,9.0,500.0,500.0,500.0,500.0,296.0,500.0,500.0,9.0,500.0,118.0,500.0,500.0,453.0,500.0,500.0,175.0,500.0,304.0,313.0,500.0,10.0,500.0,500.0,500.0,500.0,500.0,9.0,435.0,500.0,319.0,500.0,500.0,500.0
1092,390.0,27.0,108.0,500.0,500.0,364.0,475.0,500.0,194.0,500.0,500.0,220.0,500.0,500.0,9.0,137.0,9.0,500.0,500.0,500.0,500.0,292.0,500.0,500.0,9.0,500.0,119.0,386.0,500.0,472.0,500.0,500.0,169.0,500.0,304.0,261.0,435.0,10.0,500.0,500.0,500.0,500.0,207.0,9.0,264.0,500.0,442.0,500.0,500.0,500.0
1093,468.0,27.0,108.0,500.0,500.0,367.0,500.0,500.0,194.0,500.0,500.0,256.0,500.0,500.0,9.0,317.0,9.0,500.0,500.0,500.0,500.0,319.0,500.0,500.0,9.0,500.0,115.0,332.0,500.0,488.0,254.0,500.0,170.0,500.0,305.0,164.0,500.0,10.0,500.0,494.0,500.0,500.0,500.0,9.0,288.0,500.0,160.0,500.0,500.0,423.0
1094,500.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,500.0,386.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,305.0,500.0,500.0,9.0,500.0,117.0,153.0,500.0,489.0,500.0,500.0,168.0,500.0,308.0,238.0,500.0,10.0,63.0,296.0,500.0,500.0,500.0,9.0,226.0,500.0,304.0,500.0,500.0,500.0
1095,500.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,500.0,347.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,449.0,389.0,500.0,500.0,9.0,500.0,117.0,500.0,500.0,500.0,318.0,500.0,166.0,500.0,315.0,237.0,497.0,10.0,500.0,137.0,500.0,500.0,167.0,9.0,380.0,500.0,152.0,500.0,500.0,500.0
1096,211.0,27.0,108.0,500.0,500.0,386.0,500.0,500.0,194.0,500.0,500.0,156.0,500.0,500.0,9.0,125.0,9.0,500.0,500.0,500.0,500.0,377.0,500.0,500.0,9.0,500.0,115.0,457.0,500.0,500.0,346.0,500.0,173.0,500.0,304.0,155.0,500.0,10.0,500.0,237.0,500.0,500.0,203.0,9.0,145.0,500.0,272.0,500.0,500.0,500.0
1097,500.0,27.0,108.0,500.0,500.0,462.0,500.0,500.0,194.0,500.0,500.0,462.0,500.0,500.0,9.0,239.0,9.0,500.0,500.0,500.0,500.0,403.0,500.0,500.0,9.0,500.0,114.0,451.0,500.0,500.0,500.0,500.0,169.0,500.0,312.0,500.0,500.0,10.0,500.0,204.0,500.0,500.0,500.0,9.0,500.0,500.0,301.0,500.0,500.0,500.0
1098,158.0,27.0,108.0,500.0,500.0,434.0,500.0,500.0,194.0,500.0,500.0,267.0,500.0,500.0,9.0,242.0,9.0,500.0,500.0,500.0,483.0,239.0,500.0,500.0,9.0,500.0,114.0,171.0,500.0,500.0,500.0,500.0,166.0,500.0,310.0,152.0,500.0,10.0,500.0,229.0,500.0,500.0,500.0,9.0,270.0,500.0,244.0,500.0,500.0,500.0
1099,500.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,500.0,500.0,500.0,500.0,9.0,294.0,9.0,500.0,500.0,500.0,421.0,163.0,500.0,500.0,9.0,500.0,114.0,227.0,500.0,500.0,500.0,500.0,156.0,500.0,312.0,121.0,500.0,10.0,500.0,196.0,500.0,500.0,374.0,9.0,169.0,500.0,276.0,500.0,500.0,500.0
1100,500.0,27.0,108.0,500.0,500.0,272.0,500.0,500.0,194.0,500.0,500.0,299.0,500.0,500.0,9.0,366.0,9.0,500.0,500.0,500.0,500.0,350.0,500.0,500.0,9.0,500.0,114.0,251.0,500.0,500.0,500.0,500.0,167.0,500.0,311.0,163.0,478.0,10.0,500.0,200.0,500.0,500.0,324.0,9.0,500.0,500.0,314.0,500.0,500.0,500.0
1101,147.0,27.0,108.0,500.0,500.0,335.0,500.0,500.0,194.0,500.0,500.0,180.0,500.0,500.0,9.0,340.0,9.0,500.0,500.0,500.0,403.0,500.0,500.0,500.0,9.0,500.0,112.0,221.0,500.0,500.0,500.0,500.0,169.0,500.0,312.0,111.0,310.0,10.0,500.0,151.0,500.0,500.0,348.0,9.0,312.0,500.0,137.0,500.0,500.0,500.0
1102,435.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,434.0,313.0,500.0,500.0,9.0,394.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,112.0,273.0,500.0,500.0,500.0,500.0,166.0,500.0,320.0,165.0,500.0,10.0,500.0,142.0,500.0,500.0,434.0,9.0,287.0,500.0,245.0,500.0,500.0,500.0
1103,500.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,305.0,240.0,500.0,500.0,9.0,157.0,9.0,500.0,500.0,500.0,152.0,500.0,500.0,500.0,9.0,500.0,112.0,500.0,500.0,500.0,500.0,500.0,167.0,500.0,320.0,234.0,330.0,10.0,500.0,177.0,500.0,500.0,500.0,9.0,468.0,500.0,297.0,500.0,500.0,500.0
1104,233.0,27.0,108.0,500.0,500.0,250.0,500.0,500.0,194.0,500.0,353.0,186.0,500.0,500.0,9.0,363.0,9.0,500.0,500.0,500.0,500.0,241.0,500.0,500.0,9.0,500.0,113.0,231.0,500.0,500.0,500.0,500.0,166.0,500.0,328.0,125.0,495.0,10.0,500.0,162.0,500.0,500.0,391.0,9.0,281.0,500.0,248.0,500.0,500.0,500.0
1105,118.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,338.0,257.0,500.0,500.0,9.0,149.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,112.0,359.0,500.0,500.0,500.0,500.0,167.0,500.0,324.0,114.0,436.0,10.0,500.0,143.0,500.0,500.0,403.0,9.0,142.0,500.0,271.0,500.0,500.0,500.0
1106,500.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,310.0,394.0,500.0,500.0,9.0,189.0,9.0,500.0,500.0,500.0,172.0,440.0,500.0,500.0,9.0,500.0,112.0,500.0,500.0,500.0,500.0,500.0,168.0,500.0,327.0,170.0,341.0,10.0,500.0,153.0,500.0,500.0,500.0,9.0,116.0,500.0,246.0,500.0,500.0,500.0
1107,372.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,314.0,306.0,500.0,500.0,9.0,140.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,112.0,372.0,500.0,500.0,283.0,500.0,161.0,500.0,323.0,163.0,451.0,10.0,500.0,152.0,500.0,500.0,144.0,9.0,323.0,500.0,289.0,500.0,500.0,500.0
1108,301.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,371.0,496.0,500.0,500.0,9.0,153.0,9.0,500.0,500.0,500.0,500.0,274.0,500.0,500.0,9.0,500.0,112.0,483.0,500.0,500.0,216.0,500.0,165.0,500.0,328.0,152.0,327.0,10.0,500.0,157.0,500.0,500.0,328.0,9.0,114.0,500.0,247.0,500.0,500.0,500.0
1109,500.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,194.0,500.0,500.0,500.0,500.0,500.0,9.0,221.0,9.0,500.0,500.0,500.0,500.0,284.0,500.0,500.0,9.0,500.0,110.0,500.0,500.0,475.0,338.0,500.0,155.0,500.0,319.0,116.0,440.0,10.0,500.0,192.0,500.0,500.0,399.0,9.0,344.0,500.0,298.0,500.0,500.0,500.0
1110,148.0,27.0,108.0,500.0,500.0,323.0,500.0,500.0,194.0,500.0,500.0,500.0,500.0,500.0,9.0,331.0,9.0,500.0,500.0,500.0,387.0,409.0,500.0,500.0,9.0,500.0,112.0,361.0,500.0,453.0,275.0,500.0,151.0,500.0,318.0,186.0,398.0,10.0,500.0,171.0,500.0,500.0,500.0,9.0,254.0,500.0,230.0,500.0,500.0,500.0
1111,500.0,27.0,108.0,500.0,500.0,376.0,500.0,500.0,199.0,500.0,500.0,500.0,500.0,500.0,9.0,236.0,9.0,500.0,500.0,500.0,500.0,356.0,500.0,500.0,9.0,500.0,110.0,313.0,500.0,447.0,500.0,500.0,165.0,500.0,323.0,500.0,382.0,10.0,500.0,152.0,500.0,500.0,500.0,9.0,210.0,500.0,348.0,500.0,500.0,500.0
1112,199.0,27.0,108.0,500.0,500.0,452.0,500.0,500.0,199.0,500.0,500.0,290.0,500.0,500.0,9.0,493.0,9.0,500.0,500.0,500.0,500.0,210.0,500.0,500.0,9.0,500.0,113.0,432.0,500.0,457.0,500.0,500.0,165.0,500.0,314.0,263.0,420.0,10.0,500.0,154.0,500.0,500.0,500.0,9.0,122.0,500.0,313.0,500.0,500.0,500.0
1113,500.0,27.0,108.0,500.0,500.0,210.0,500.0,500.0,199.0,500.0,500.0,495.0,500.0,500.0,9.0,411.0,9.0,500.0,500.0,500.0,500.0,269.0,500.0,500.0,9.0,500.0,112.0,500.0,500.0,458.0,500.0,500.0,160.0,500.0,323.0,160.0,293.0,10.0,500.0,169.0,500.0,500.0,500.0,9.0,207.0,500.0,257.0,500.0,500.0,500.0
1114,272.0,27.0,108.0,500.0,500.0,304.0,500.0,500.0,199.0,500.0,500.0,500.0,500.0,500.0,9.0,328.0,9.0,500.0,500.0,500.0,500.0,309.0,500.0,500.0,9.0,500.0,112.0,244.0,500.0,445.0,500.0,500.0,135.0,500.0,317.0,300.0,254.0,10.0,500.0,177.0,500.0,500.0,364.0,9.0,180.0,500.0,268.0,500.0,500.0,500.0
1115,500.0,27.0,108.0,500.0,500.0,471.0,500.0,500.0,194.0,500.0,500.0,291.0,500.0,500.0,9.0,485.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,110.0,256.0,500.0,448.0,500.0,500.0,132.0,500.0,303.0,140.0,271.0,10.0,500.0,183.0,500.0,500.0,500.0,9.0,222.0,500.0,281.0,500.0,500.0,500.0
1116,268.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,199.0,500.0,500.0,500.0,500.0,500.0,9.0,360.0,9.0,500.0,500.0,500.0,500.0,237.0,500.0,500.0,9.0,500.0,110.0,318.0,500.0,451.0,500.0,500.0,160.0,500.0,307.0,164.0,348.0,10.0,500.0,172.0,500.0,500.0,500.0,9.0,227.0,500.0,153.0,500.0,500.0,500.0
1117,202.0,27.0,108.0,500.0,500.0,500.0,500.0,500.0,199.0,500.0,500.0,500.0,500.0,500.0,9.0,331.0,9.0,500.0,500.0,500.0,500.0,318.0,500.0,500.0,9.0,500.0,112.0,500.0,500.0,437.0,371.0,500.0,157.0,500.0,313.0,135.0,319.0,10.0,500.0,181.0,500.0,500.0,500.0,9.0,111.0,500.0,275.0,500.0,500.0,500.0
1118,467.0,27.0,110.0,500.0,500.0,293.0,500.0,500.0,199.0,500.0,500.0,500.0,500.0,500.0,9.0,395.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,112.0,362.0,500.0,399.0,500.0,500.0,153.0,500.0,316.0,174.0,228.0,10.0,500.0,192.0,500.0,500.0,401.0,9.0,169.0,500.0,337.0,500.0,500.0,500.0
1119,200.0,27.0,108.0,500.0,491.0,500.0,500.0,500.0,199.0,500.0,500.0,440.0,500.0,500.0,9.0,482.0,9.0,500.0,500.0,500.0,500.0,452.0,500.0,500.0,9.0,500.0,112.0,394.0,500.0,373.0,500.0,500.0,154.0,500.0,317.0,202.0,319.0,10.0,500.0,180.0,500.0,500.0,322.0,9.0,248.0,500.0,296.0,500.0,500.0,500.0
1120,231.0,27.0,108.0,500.0,500.0,500.0,500.0,389.0,199.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,440.0,500.0,500.0,9.0,500.0,112.0,472.0,500.0,346.0,500.0,500.0,152.0,500.0,334.0,169.0,303.0,10.0,500.0,196.0,500.0,500.0,138.0,9.0,144.0,500.0,314.0,500.0,500.0,500.0
1121,395.0,27.0,110.0,500.0,500.0,500.0,115.0,444.0,199.0,500.0,500.0,104.0,500.0,500.0,9.0,253.0,9.0,500.0,500.0,500.0,500.0,311.0,500.0,500.0,9.0,500.0,112.0,202.0,500.0,338.0,500.0,500.0,133.0,500.0,328.0,183.0,301.0,10.0,500.0,164.0,500.0,500.0,228.0,9.0,321.0,500.0,270.0,500.0,500.0,500.0
1122,92.0,27.0,108.0,500.0,500.0,133.0,500.0,465.0,199.0,500.0,500.0,450.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,344.0,500.0,500.0,9.0,500.0,113.0,391.0,500.0,325.0,271.0,500.0,120.0,500.0,342.0,139.0,270.0,10.0,500.0,183.0,500.0,500.0,431.0,9.0,169.0,500.0,306.0,500.0,500.0,500.0
1123,231.0,27.0,110.0,500.0,500.0,500.0,500.0,370.0,199.0,500.0,500.0,445.0,500.0,500.0,9.0,480.0,9.0,500.0,500.0,500.0,500.0,148.0,500.0,500.0,9.0,500.0,112.0,428.0,500.0,307.0,500.0,500.0,116.0,500.0,330.0,191.0,269.0,10.0,500.0,229.0,500.0,500.0,364.0,9.0,268.0,500.0,351.0,500.0,500.0,500.0
1124,500.0,27.0,110.0,500.0,500.0,141.0,500.0,430.0,199.0,500.0,500.0,429.0,500.0,500.0,9.0,447.0,9.0,500.0,500.0,500.0,500.0,418.0,500.0,500.0,9.0,500.0,112.0,500.0,500.0,286.0,500.0,500.0,134.0,500.0,342.0,149.0,204.0,10.0,500.0,185.0,500.0,500.0,223.0,9.0,131.0,500.0,284.0,500.0,500.0,500.0
1125,193.0,27.0,110.0,500.0,500.0,340.0,500.0,448.0,199.0,500.0,500.0,236.0,500.0,500.0,9.0,491.0,9.0,500.0,500.0,498.0,500.0,331.0,500.0,500.0,9.0,500.0,113.0,300.0,500.0,273.0,500.0,500.0,129.0,500.0,349.0,215.0,254.0,10.0,500.0,204.0,500.0,500.0,500.0,9.0,132.0,500.0,500.0,500.0,500.0,500.0
1126,341.0,27.0,110.0,500.0,500.0,500.0,154.0,500.0,199.0,500.0,500.0,362.0,500.0,500.0,9.0,338.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,112.0,247.0,500.0,263.0,370.0,500.0,113.0,500.0,353.0,188.0,191.0,10.0,500.0,171.0,500.0,500.0,500.0,9.0,260.0,500.0,328.0,500.0,500.0,500.0
1127,181.0,27.0,110.0,500.0,500.0,178.0,306.0,500.0,199.0,499.0,500.0,500.0,500.0,500.0,9.0,493.0,9.0,500.0,500.0,500.0,500.0,371.0,500.0,500.0,9.0,500.0,112.0,152.0,500.0,248.0,212.0,500.0,110.0,500.0,355.0,273.0,363.0,10.0,500.0,269.0,500.0,500.0,485.0,9.0,114.0,500.0,267.0,500.0,500.0,500.0
1128,304.0,27.0,110.0,500.0,445.0,500.0,500.0,464.0,199.0,500.0,500.0,204.0,500.0,500.0,9.0,500.0,9.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,9.0,500.0,113.0,360.0,500.0,241.0,500.0,500.0,107.0,500.0,360.0,202.0,235.0,10.0,500.0,245.0,500.0,500.0,365.0,9.0,500.0,500.0,124.0,500.0,500.0,500.0
1129,168.0,27.0,110.0,500.0,499.0,500.0,476.0,469.0,199.0,500.0,500.0,406.0,500.0,500.0,9.0,242.0,9.0,500.0,500.0,468.0,500.0,331.0,500.0,500.0,9.0,500.0,114.0,403.0,500.0,230.0,500.0,500.0,100.0,500.0,350.0,148.0,264.0,10.0,500.0,236.0,500.0,500.0,317.0,9.0,162.0,500.0,477.0,500.0,500.0,500.0
1130,500.0,27.0,110.0,500.0,471.0,414.0,500.0,500.0,199.0,500.0,473.0,388.0,500.0,500.0,9.0,274.0,9.0,500.0,500.0,370.0,500.0,500.0,500.0,500.0,9.0,500.0,112.0,500.0,500.0,219.0,459.0,500.0,106.0,500.0,351.0,221.0,244.0,10.0,500.0,239.0,500.0,500.0,371.0,9.0,202.0,500.0,500.0,500.0,500.0,500.0
1131,244.0,27.0,110.0,500.0,383.0,232.0,500.0,431.0,199.0,500.0,312.0,311.0,500.0,500.0,9.0,500.0,10.0,500.0,500.0,338.0,500.0,500.0,500.0,500.0,9.0,500.0,113.0,500.0,500.0,213.0,245.0,500.0,99.0,500.0,352.0,120.0,208.0,10.0,500.0,275.0,500.0,500.0,500.0,9.0,166.0,500.0,500.0,500.0,500.0,500.0
1132,167.0,27.0,110.0,500.0,345.0,500.0,500.0,500.0,199.0,500.0,300.0,500.0,500.0,500.0,9.0,422.0,9.0,500.0,500.0,500.0,500.0,354.0,500.0,500.0,9.0,500.0,112.0,500.0,500.0,209.0,293.0,500.0,97.0,500.0,352.0,131.0,222.0,10.0,500.0,200.0,500.0,500.0,397.0,9.0,208.0,500.0,129.0,500.0,500.0,500.0
1133,500.0,27.0,111.0,500.0,485.0,500.0,500.0,500.0,199.0,500.0,298.0,500.0,500.0,500.0,9.0,410.0,9.0,500.0,500.0,453.0,500.0,270.0,500.0,500.0,9.0,500.0,114.0,500.0,500.0,205.0,500.0,500.0,101.0,500.0,352.0,137.0,309.0,10.0,500.0,254.0,500.0,500.0,330.0,9.0,311.0,500.0,441.0,500.0,500.0,500.0
